,Image,Accuracy,F1,Jaccard,Recall,Precision
0,0012,1.0,1.0,0.0,1.0,1.0
1,0021,1.0,1.0,0.0,1.0,1.0
2,0035,0.9997138977050781,0.0,0.0,1.0,0.0
3,0036,0.9987106323242188,0.0,0.0,1.0,0.0
4,0047,1.0,1.0,0.0,1.0,1.0
5,0060,0.9999618530273438,0.0,0.0,1.0,0.0
6,0068,0.9994926452636719,0.0,0.0,1.0,0.0
7,0074,0.9976348876953125,0.0,0.0,1.0,0.0
8,0083,1.0,1.0,0.0,1.0,1.0
9,0093,0.9975662231445312,0.0,0.0,1.0,0.0
10,0107,0.9984931945800781,0.0,0.0,1.0,0.0
11,0111,0.9979438781738281,0.0,0.0,1.0,0.0
12,0123,0.9989509582519531,0.0,0.0,1.0,0.0
13,0135,0.9984931945800781,0.0,0.0,1.0,0.0
14,0152,0.9999847412109375,0.0,0.0,1.0,0.0
15,0160,1.0,1.0,0.0,1.0,1.0
16,0187,1.0,1.0,0.0,1.0,1.0
17,0205,1.0,1.0,0.0,1.0,1.0
18,0223,0.9990997314453125,0.0,0.0,1.0,0.0
19,0227,0.9980354309082031,0.0,0.0,1.0,0.0
20,0236,0.9958648681640625,0.0,0.0,1.0,0.0
21,0257,0.980438232421875,0.0,0.0,1.0,0.0
22,0266,0.9814300537109375,0.0,0.0,1.0,0.0
23,0279,0.9877166748046875,0.0,0.0,1.0,0.0
24,0293,0.9892311096191406,0.0,0.0,1.0,0.0
25,0296,0.9818038940429688,0.0,0.0,1.0,0.0
26,0306,0.9926376342773438,0.0,0.0,1.0,0.0
27,0327,1.0,1.0,0.0,1.0,1.0
28,0328,1.0,1.0,0.0,1.0,1.0
29,0329,1.0,1.0,0.0,1.0,1.0
30,0345,0.9997100830078125,0.0,0.0,0.0,1.0
31,0365,0.9959144592285156,0.0,0.0,0.0,1.0
32,0369,0.9950942993164062,0.0,0.0,0.0,1.0
33,0372,0.9952621459960938,0.3551401869158879,0.2159090909090909,0.2159090909090909,1.0
34,0383,0.9956398010253906,0.7836456558773425,0.6442577030812325,0.6442577030812325,1.0
35,0417,0.9858360290527344,0.8484922675154036,0.7368532955350815,0.7544445250707495,0.9693268692895767
36,0428,0.9919509887695312,0.9383509612575235,0.8838617349185381,0.899607843137255,0.980581338544211
37,0435,0.9924392700195312,0.9468262059344316,0.8990218055838598,0.9217027944633064,0.9733576038391527
38,0442,0.99493408203125,0.9670569557451875,0.9362151777137367,0.9612387809448664,0.9729459918139164
39,0455,0.9968528747558594,0.9814993384611934,0.9636707913162182,0.9927868257496711,0.9704656319290466
40,0479,0.9971656799316406,0.9842807878646836,0.9690481149760467,0.9950806348119947,0.97371285056509
41,0487,0.9970474243164062,0.983689467695031,0.9679024632993282,0.9956913100976921,0.9719735143463957
42,0492,0.9968605041503906,0.9825956393934908,0.9657867387237581,0.9953301058223727,0.9701829115509897
43,0493,0.9968414306640625,0.9824657998390582,0.9655359001040583,0.9951522951522952,0.9700986952157913
44,0502,0.9968032836914062,0.9819357620176762,0.9645125772846617,0.9968051118210862,0.9675035045240219
45,0523,0.9966468811035156,0.9794822716556569,0.9597895699908509,0.9996188479679833,0.9601409481969614
